tripduration,starttime,stoptime,start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,usertype,birth year,gender
202,12/1/19 9:18 AM,12/1/19 9:22 AM,3199,Newport Pkwy,40.7287448,-74.0321082,3638,Washington St,40.7242941,-74.0354826,29469,Subscriber,1970,1
106,12/1/19 9:20 AM,12/1/19 9:22 AM,3186,Grove St PATH,40.71958612,-74.04311746,3211,Newark Ave,40.72152515,-74.04630454,29623,Subscriber,1976,1
276,12/1/19 9:21 AM,12/1/19 9:25 AM,3269,Brunswick & 6th,40.72601173,-74.05038893,3273,Manila & 1st,40.72165072,-74.04288411,29524,Subscriber,1989,2
301,12/1/19 9:24 AM,12/1/19 9:29 AM,3639,Harborside,40.7192517,-74.034234,3202,Newport PATH,40.7272235,-74.0337589,29527,Subscriber,1996,2
468,12/1/19 9:25 AM,12/1/19 9:33 AM,3199,Newport Pkwy,40.7287448,-74.0321082,3273,Manila & 1st,40.72165072,-74.04288411,29260,Customer,1995,2
258,12/1/19 9:27 AM,12/1/19 9:31 AM,3276,Marin Light Rail,40.71458404,-74.04281706,3186,Grove St PATH,40.71958612,-74.04311746,29275,Subscriber,1985,1
182,12/1/19 9:27 AM,12/1/19 9:30 AM,3186,Grove St PATH,40.71958612,-74.04311746,3278,Monmouth and 6th,40.72568548,-74.04879034,29492,Subscriber,1977,1
189,12/1/19 9:29 AM,12/1/19 9:32 AM,3195,Sip Ave,40.7308971,-74.06391263,3677,Glenwood Ave,40.72755147,-74.07106072,29227,Subscriber,1994,2
1293,12/1/19 9:30 AM,12/1/19 9:52 AM,3205,JC Medical Center,40.71653978,-74.04963791,3209,Brunswick St,40.7241765,-74.0506564,26192,Subscriber,1990,1
618,12/1/19 9:32 AM,12/1/19 9:43 AM,3207,Oakland Ave,40.7376037,-74.0524783,3185,City Hall,40.7177325,-74.043845,29473,Subscriber,1994,1
144,12/1/19 9:34 AM,12/1/19 9:36 AM,3272,Jersey & 3rd,40.72333159,-74.04595256,3203,Hamilton Park,40.72759597,-74.04424731,26298,Subscriber,1985,1
202,12/1/19 9:38 AM,12/1/19 9:41 AM,3209,Brunswick St,40.7241765,-74.0506564,3186,Grove St PATH,40.71958612,-74.04311746,29620,Subscriber,1984,1
741,12/1/19 9:38 AM,12/1/19 9:51 AM,3278,Monmouth and 6th,40.72568548,-74.04879034,3277,Communipaw & Berry Lane,40.71435837,-74.06661093,29492,Subscriber,1985,1
207,12/1/19 9:48 AM,12/1/19 9:51 AM,3194,McGinley Square,40.72533993,-74.06762213,3195,Sip Ave,40.7308971,-74.06391263,26195,Subscriber,1966,1
